Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-02-02;16,00;21,00;11,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;11,43;32,00;5,00;0,00;0,00;0,00;0,00;6,86;98,29;4,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;55,00;5,00;5,00;5,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;4,58;16,04;0,00;6,00;0,00;0,00;0,00;0,00;71,92;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;82,00;0,00;0,00;11,00;5,00;0,00;6,00;6,00;0,00;4,56;0,00;4,56;11,39;0,00;0,00;5,00;0,00;0,00;0,00;54,67;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;36,00;10,00;0,00;5,00;0,00;5,00;5,00;10,00;0,00;0,00;4,50;4,50;15,75;5,00;0,00;5,00;5,00;0,00;0,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;10,00;0,00;5,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;0,00;0,00;0,00;10,00;0,00;0,00;44,00;0,00;0,00;5,00;0,00;10,00;0,00;0,00;5,00;5,00;0,00;0,00;10,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;15,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;4,29;15,00;0,00;0,00;5,00;0,00;0,00;0,00;40,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2020-03-15;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;5,00;0,00;0,00;5,00;0,00;0,00;2,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;18,00;5,00;0,00;0,00;28,00;5,00;0,00;5,00;0,00;0,00;0,00;4,50;18,00;0,00;0,00;9,00;5,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;5,00;0,00;5,00;0,00;33,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;10,00;0,00;0,00;5,00;5,00;0,00;0,00;22,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,00;0,00;5,00;10,00;0,00;0,00;0,00;9,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
